product_code,bureau_of_meteorology_station_number,year,month,day,rainfall_amount_millimetres,period_over_which_rainfall_was_measured_days,quality,date
IDCJAC0009,66006,2012,12,31,0,NA,Y,2012-12-31
IDCJAC0009,66006,2013,1,1,0,NA,Y,2013-01-01
IDCJAC0009,66006,2013,1,2,0,NA,Y,2013-01-02
IDCJAC0009,66006,2013,1,3,0,NA,Y,2013-01-03
IDCJAC0009,66006,2013,1,4,0,NA,Y,2013-01-04
IDCJAC0009,66006,2013,1,5,0,NA,Y,2013-01-05
IDCJAC0009,66006,2013,1,6,0,NA,Y,2013-01-06
IDCJAC0009,66006,2013,1,7,0,NA,Y,2013-01-07
IDCJAC0009,66006,2013,1,8,0,NA,Y,2013-01-08
IDCJAC0009,66006,2013,1,9,0,NA,Y,2013-01-09
IDCJAC0009,66006,2013,1,10,0,NA,Y,2013-01-10
IDCJAC0009,66006,2013,1,11,0,NA,Y,2013-01-11
IDCJAC0009,66006,2013,1,12,0,NA,Y,2013-01-12
IDCJAC0009,66006,2013,1,13,0,NA,Y,2013-01-13
IDCJAC0009,66006,2013,1,14,9.5,1,Y,2013-01-14
IDCJAC0009,66006,2013,1,15,0,NA,Y,2013-01-15
IDCJAC0009,66006,2013,1,16,0,NA,Y,2013-01-16
IDCJAC0009,66006,2013,1,17,0,NA,Y,2013-01-17
IDCJAC0009,66006,2013,1,18,0,NA,Y,2013-01-18
IDCJAC0009,66006,2013,1,19,0.4,1,Y,2013-01-19
IDCJAC0009,66006,2013,1,20,0,NA,Y,2013-01-20
IDCJAC0009,66006,2013,1,21,0.5,1,Y,2013-01-21
IDCJAC0009,66006,2013,1,22,0.2,1,Y,2013-01-22
IDCJAC0009,66006,2013,1,23,0,NA,Y,2013-01-23
IDCJAC0009,66006,2013,1,24,0,NA,Y,2013-01-24
IDCJAC0009,66006,2013,1,25,0,NA,Y,2013-01-25
IDCJAC0009,66006,2013,1,26,0,NA,Y,2013-01-26
IDCJAC0009,66006,2013,1,27,19.8,1,Y,2013-01-27
IDCJAC0009,66006,2013,1,28,19,1,Y,2013-01-28
IDCJAC0009,66006,2013,1,29,135.8,1,Y,2013-01-29
IDCJAC0009,66006,2013,1,30,0.8,1,Y,2013-01-30
IDCJAC0009,66006,2013,1,31,0,NA,Y,2013-01-31
IDCJAC0009,66006,2013,2,1,0,NA,Y,2013-02-01
IDCJAC0009,66006,2013,2,2,58.6,1,Y,2013-02-02
IDCJAC0009,66006,2013,2,3,4.2,1,Y,2013-02-03
IDCJAC0009,66006,2013,2,4,2.4,1,Y,2013-02-04
IDCJAC0009,66006,2013,2,5,0.1,1,Y,2013-02-05
IDCJAC0009,66006,2013,2,6,0.8,1,Y,2013-02-06
IDCJAC0009,66006,2013,2,7,0,NA,Y,2013-02-07
IDCJAC0009,66006,2013,2,8,0,NA,Y,2013-02-08
IDCJAC0009,66006,2013,2,9,0,NA,Y,2013-02-09
IDCJAC0009,66006,2013,2,10,0,NA,Y,2013-02-10
IDCJAC0009,66006,2013,2,11,8.5,1,Y,2013-02-11
IDCJAC0009,66006,2013,2,12,13.4,1,Y,2013-02-12
IDCJAC0009,66006,2013,2,13,1.6,1,Y,2013-02-13
IDCJAC0009,66006,2013,2,14,0,NA,Y,2013-02-14
IDCJAC0009,66006,2013,2,15,1,1,Y,2013-02-15
IDCJAC0009,66006,2013,2,16,2.4,1,Y,2013-02-16
IDCJAC0009,66006,2013,2,17,24,1,Y,2013-02-17
IDCJAC0009,66006,2013,2,18,1.2,1,Y,2013-02-18
IDCJAC0009,66006,2013,2,19,0.9,1,Y,2013-02-19
IDCJAC0009,66006,2013,2,20,0.2,1,Y,2013-02-20
IDCJAC0009,66006,2013,2,21,0.4,1,Y,2013-02-21
IDCJAC0009,66006,2013,2,22,1.4,1,Y,2013-02-22
IDCJAC0009,66006,2013,2,23,18,1,Y,2013-02-23
IDCJAC0009,66006,2013,2,24,49,1,Y,2013-02-24
IDCJAC0009,66006,2013,2,25,0,NA,Y,2013-02-25
IDCJAC0009,66006,2013,2,26,0.1,1,Y,2013-02-26
IDCJAC0009,66006,2013,2,27,0,NA,Y,2013-02-27
IDCJAC0009,66006,2013,2,28,0,NA,Y,2013-02-28
IDCJAC0009,66006,2013,3,1,31.8,1,Y,2013-03-01
IDCJAC0009,66006,2013,3,2,16.2,1,Y,2013-03-02
IDCJAC0009,66006,2013,3,3,4.4,1,Y,2013-03-03
IDCJAC0009,66006,2013,3,4,5.4,1,Y,2013-03-04
IDCJAC0009,66006,2013,3,5,0.1,1,Y,2013-03-05
IDCJAC0009,66006,2013,3,6,0.1,1,Y,2013-03-06
IDCJAC0009,66006,2013,3,7,0,NA,Y,2013-03-07
IDCJAC0009,66006,2013,3,8,0.1,1,Y,2013-03-08
IDCJAC0009,66006,2013,3,9,0.4,1,Y,2013-03-09
IDCJAC0009,66006,2013,3,10,0,NA,Y,2013-03-10
IDCJAC0009,66006,2013,3,11,0,NA,Y,2013-03-11
IDCJAC0009,66006,2013,3,12,0.5,1,Y,2013-03-12
IDCJAC0009,66006,2013,3,13,0.2,1,Y,2013-03-13
IDCJAC0009,66006,2013,3,14,0,NA,Y,2013-03-14
IDCJAC0009,66006,2013,3,15,0.4,1,Y,2013-03-15
IDCJAC0009,66006,2013,3,16,0,NA,Y,2013-03-16
IDCJAC0009,66006,2013,3,17,0,NA,Y,2013-03-17
IDCJAC0009,66006,2013,3,18,0,NA,Y,2013-03-18
IDCJAC0009,66006,2013,3,19,0,NA,Y,2013-03-19
IDCJAC0009,66006,2013,3,20,0.1,1,Y,2013-03-20
IDCJAC0009,66006,2013,3,21,0,NA,Y,2013-03-21
IDCJAC0009,66006,2013,3,22,0,NA,Y,2013-03-22
IDCJAC0009,66006,2013,3,23,2,1,Y,2013-03-23
IDCJAC0009,66006,2013,3,24,0,NA,Y,2013-03-24
IDCJAC0009,66006,2013,3,25,0,NA,Y,2013-03-25
IDCJAC0009,66006,2013,3,26,0,NA,Y,2013-03-26
IDCJAC0009,66006,2013,3,27,0,NA,Y,2013-03-27
IDCJAC0009,66006,2013,3,28,0,NA,Y,2013-03-28
IDCJAC0009,66006,2013,3,29,4,1,Y,2013-03-29
IDCJAC0009,66006,2013,3,30,0,NA,Y,2013-03-30
IDCJAC0009,66006,2013,3,31,0,NA,Y,2013-03-31
IDCJAC0009,66006,2013,4,1,6,1,Y,2013-04-01
IDCJAC0009,66006,2013,4,2,0,NA,Y,2013-04-02
IDCJAC0009,66006,2013,4,3,33,1,Y,2013-04-03
IDCJAC0009,66006,2013,4,4,74.6,1,Y,2013-04-04
IDCJAC0009,66006,2013,4,5,29.8,1,Y,2013-04-05
IDCJAC0009,66006,2013,4,6,2.4,1,Y,2013-04-06
IDCJAC0009,66006,2013,4,7,4.4,1,Y,2013-04-07
IDCJAC0009,66006,2013,4,8,0,NA,Y,2013-04-08
IDCJAC0009,66006,2013,4,9,6.6,1,Y,2013-04-09
IDCJAC0009,66006,2013,4,10,4.2,1,Y,2013-04-10
IDCJAC0009,66006,2013,4,11,0,NA,Y,2013-04-11
IDCJAC0009,66006,2013,4,12,0,NA,Y,2013-04-12
IDCJAC0009,66006,2013,4,13,0,NA,Y,2013-04-13
IDCJAC0009,66006,2013,4,14,0,NA,Y,2013-04-14
IDCJAC0009,66006,2013,4,15,0,NA,Y,2013-04-15
IDCJAC0009,66006,2013,4,16,7.6,1,Y,2013-04-16
IDCJAC0009,66006,2013,4,17,0.1,1,Y,2013-04-17
IDCJAC0009,66006,2013,4,18,0,NA,Y,2013-04-18
IDCJAC0009,66006,2013,4,19,1,1,Y,2013-04-19
IDCJAC0009,66006,2013,4,20,47,1,Y,2013-04-20
IDCJAC0009,66006,2013,4,21,15.2,1,Y,2013-04-21
IDCJAC0009,66006,2013,4,22,0.4,1,Y,2013-04-22
IDCJAC0009,66006,2013,4,23,0,NA,Y,2013-04-23
IDCJAC0009,66006,2013,4,24,0,NA,Y,2013-04-24
IDCJAC0009,66006,2013,4,25,0,NA,Y,2013-04-25
IDCJAC0009,66006,2013,4,26,0,NA,Y,2013-04-26
IDCJAC0009,66006,2013,4,27,0,NA,Y,2013-04-27
IDCJAC0009,66006,2013,4,28,0,NA,Y,2013-04-28
IDCJAC0009,66006,2013,4,29,0,NA,Y,2013-04-29
IDCJAC0009,66006,2013,4,30,0,NA,Y,2013-04-30
IDCJAC0009,66006,2013,5,1,0,NA,Y,2013-05-01
IDCJAC0009,66006,2013,5,2,0.2,1,Y,2013-05-02
IDCJAC0009,66006,2013,5,3,0,NA,Y,2013-05-03
IDCJAC0009,66006,2013,5,4,0,NA,Y,2013-05-04
IDCJAC0009,66006,2013,5,5,0,NA,Y,2013-05-05
IDCJAC0009,66006,2013,5,6,0,NA,Y,2013-05-06
IDCJAC0009,66006,2013,5,7,0,NA,Y,2013-05-07
IDCJAC0009,66006,2013,5,8,0.4,1,Y,2013-05-08
IDCJAC0009,66006,2013,5,9,0,NA,Y,2013-05-09
IDCJAC0009,66006,2013,5,10,0,NA,Y,2013-05-10
IDCJAC0009,66006,2013,5,11,0,NA,Y,2013-05-11
IDCJAC0009,66006,2013,5,12,0,NA,Y,2013-05-12
IDCJAC0009,66006,2013,5,13,0,NA,Y,2013-05-13
IDCJAC0009,66006,2013,5,14,0.2,1,Y,2013-05-14
IDCJAC0009,66006,2013,5,15,0.1,1,Y,2013-05-15
IDCJAC0009,66006,2013,5,16,0,NA,Y,2013-05-16
IDCJAC0009,66006,2013,5,17,0,NA,Y,2013-05-17
IDCJAC0009,66006,2013,5,18,0,NA,Y,2013-05-18
IDCJAC0009,66006,2013,5,19,0,NA,Y,2013-05-19
IDCJAC0009,66006,2013,5,20,0,NA,Y,2013-05-20
IDCJAC0009,66006,2013,5,21,0,NA,Y,2013-05-21
IDCJAC0009,66006,2013,5,22,0,NA,Y,2013-05-22
IDCJAC0009,66006,2013,5,23,26.8,1,Y,2013-05-23
IDCJAC0009,66006,2013,5,24,31.2,1,Y,2013-05-24
IDCJAC0009,66006,2013,5,25,18.6,1,Y,2013-05-25
IDCJAC0009,66006,2013,5,26,0.1,1,Y,2013-05-26
IDCJAC0009,66006,2013,5,27,3.8,1,Y,2013-05-27
IDCJAC0009,66006,2013,5,28,28.8,1,Y,2013-05-28
IDCJAC0009,66006,2013,5,29,0.8,1,Y,2013-05-29
IDCJAC0009,66006,2013,5,30,0,NA,Y,2013-05-30
IDCJAC0009,66006,2013,5,31,0,NA,Y,2013-05-31
IDCJAC0009,66006,2013,6,1,0,NA,Y,2013-06-01
IDCJAC0009,66006,2013,6,2,15.4,1,Y,2013-06-02
IDCJAC0009,66006,2013,6,3,36.6,1,Y,2013-06-03
IDCJAC0009,66006,2013,6,4,0,NA,Y,2013-06-04
IDCJAC0009,66006,2013,6,5,0.2,1,Y,2013-06-05
IDCJAC0009,66006,2013,6,6,0,NA,Y,2013-06-06
IDCJAC0009,66006,2013,6,7,0.4,1,Y,2013-06-07
IDCJAC0009,66006,2013,6,8,0,NA,Y,2013-06-08
IDCJAC0009,66006,2013,6,9,0,NA,Y,2013-06-09
IDCJAC0009,66006,2013,6,10,0,NA,Y,2013-06-10
IDCJAC0009,66006,2013,6,11,0.8,1,Y,2013-06-11
IDCJAC0009,66006,2013,6,12,0,NA,Y,2013-06-12
IDCJAC0009,66006,2013,6,13,7.8,1,Y,2013-06-13
IDCJAC0009,66006,2013,6,14,0,NA,Y,2013-06-14
IDCJAC0009,66006,2013,6,15,0,NA,Y,2013-06-15
IDCJAC0009,66006,2013,6,16,0,NA,Y,2013-06-16
IDCJAC0009,66006,2013,6,17,0,NA,Y,2013-06-17
IDCJAC0009,66006,2013,6,18,0,NA,Y,2013-06-18
IDCJAC0009,66006,2013,6,19,16.8,1,Y,2013-06-19
IDCJAC0009,66006,2013,6,20,2.4,1,Y,2013-06-20
IDCJAC0009,66006,2013,6,21,0,NA,Y,2013-06-21
IDCJAC0009,66006,2013,6,22,9.8,1,Y,2013-06-22
IDCJAC0009,66006,2013,6,23,57,1,Y,2013-06-23
IDCJAC0009,66006,2013,6,24,53.8,1,Y,2013-06-24
IDCJAC0009,66006,2013,6,25,5.5,1,Y,2013-06-25
IDCJAC0009,66006,2013,6,26,22.5,1,Y,2013-06-26
IDCJAC0009,66006,2013,6,27,1,1,Y,2013-06-27
IDCJAC0009,66006,2013,6,28,20.8,1,Y,2013-06-28
IDCJAC0009,66006,2013,6,29,54,1,Y,2013-06-29
IDCJAC0009,66006,2013,6,30,53.8,1,Y,2013-06-30
IDCJAC0009,66006,2013,7,1,10.6,1,Y,2013-07-01
IDCJAC0009,66006,2013,7,2,0,NA,Y,2013-07-02
IDCJAC0009,66006,2013,7,3,0,NA,Y,2013-07-03
IDCJAC0009,66006,2013,7,4,0,NA,Y,2013-07-04
IDCJAC0009,66006,2013,7,5,0,NA,Y,2013-07-05
IDCJAC0009,66006,2013,7,6,0,NA,Y,2013-07-06
IDCJAC0009,66006,2013,7,7,0,NA,Y,2013-07-07
IDCJAC0009,66006,2013,7,8,0,NA,Y,2013-07-08
IDCJAC0009,66006,2013,7,9,1.2,1,Y,2013-07-09
IDCJAC0009,66006,2013,7,10,8.4,1,Y,2013-07-10
IDCJAC0009,66006,2013,7,11,0,NA,Y,2013-07-11
IDCJAC0009,66006,2013,7,12,0,NA,Y,2013-07-12
IDCJAC0009,66006,2013,7,13,0,NA,Y,2013-07-13
IDCJAC0009,66006,2013,7,14,0,NA,Y,2013-07-14
